project_title,project_id,project_contact,description,,time_interval,project_based_club
project253,253,kennith.rowe19@gmail.com,It felt great to disconnect with technology.,2553,2 months,Cornell University Hackers Society
project254,254,doris_herman42@yahoo.com,I feel like blowing something up.,1226,5 months,Cornell University Biomedical Engineering Society
project255,255,devyn85@gmail.com,You look really sharp today.,1234,18 month,Cornell University American Institute of Chemical Engineers
project256,256,tavares.franecki@hotmail.com,It took quite a while.,5654,3 months,Cornell University Baja Sae
project257,257,alejandrin.marvin@hotmail.com,The blacksmith makes old-fashioned swords.,4030,6 months,Cornell University Aeronautics Team
project258,258,hershel_greenfelder@gmail.com,"In Australia, McDonald's is called Maccas.",8437,2 months,Cornell University MedWish
project259,259,johann.macejkovic19@gmail.com,Tom has a big box of stuff in my attic.,5273,5 months,Cornell University Rocket Team
project260,260,easton94@yahoo.com,She became homeless after she was evicted.,2165,18 month,Cornell University Global Health Design Collaborative
project261,261,ayla.feil44@hotmail.com,Life is full of ups and downs.,2319,18 year,Cornell University Graduate Civil Engineering Student Association
project262,262,hazel18@hotmail.com,We can go to the oark.,9673,1.5 years,Cornell University Medical Technology Group
project263,263,kobe2@yahoo.com,She became more and more beautiful.,9887,25 months,Cornell University oSTEM
project264,264,boyd87@yahoo.com,You're a huge help.,431,21 years,Cornell University Society of Hispanic Professional Engineers
project265,265,jamarcus_langworth4@yahoo.com,It’s a significant promise.,6573,20 weeks,Cornell University Society of Women Engineers
project266,266,abbey89@yahoo.com,Historical sites are awesome to walk through.,5339,3 months,Cornell University Steel Bridge Team
project267,267,jeanne_adams23@yahoo.com,She felt sad for no real reason.,1584,6 months,Cornell University Theta Tau
project268,268,alessandro56@hotmail.com,I made a mistake in choosing my wife.,541,2 months,Cornell University Women in Science and Engineering Roundtable
project269,269,verna_stehr76@yahoo.com,I just saw the weirdest sidewalk.,5950,5 months,Cornell University American Marketing Association
project270,270,anabel.larkin@yahoo.com,Tom asked me if he was invited to the party.,6702,19 month,Cornell University Association for Computing Machinery
project271,271,cortney.stanton@hotmail.com,He writes meaningless letters.,3262,3 months,Cornell University Neuroscience Society
project272,272,gene_becker63@yahoo.com,I've got other problems.,3797,6 months,Cornell University Orchestra
project273,273,bernadette.treutel@hotmail.com,Ask no questions and hear no lies.,1341,2 months,Cornell University Developer Student Club
project274,274,cole_fahey31@hotmail.com,This horse has beautiful eyes.,5655,5 months,Cornell University Design For America
project275,275,mohammad.walker35@hotmail.com,The last city I wanted to visit was Boston.,1483,19 month,Cornell University Discussions Undergraduate Research Journal
project276,276,darryl49@hotmail.com,I love my new pets.,9088,19 year,University of Texas at Austin Engineers Without Borders
project277,277,geovanni3@gmail.com,We had a snow storm last weekend.,5847,1.5 years,University of Texas at Austin Girls Who Code
project278,278,carmel98@yahoo.com,He was in a bluegrass band with his father.,3137,26 months,University of Texas at Austin Hackers Society
project279,279,jan.lakin@gmail.com,I've got a surprise for you.,4767,22 years,University of Texas at Austin Biomedical Engineering Society
project280,280,miguel_leuschke41@gmail.com,I am here to be pushed to a higher level.,765,21 weeks,University of Texas at Austin American Institute of Chemical Engineers
project281,281,dorothea_nolan76@hotmail.com,This is too big for one person to carry.,8184,3 months,University of Texas at Austin Baja Sae
project282,282,claude_bogan92@yahoo.com,I've got rough hands.,5373,6 months,University of Texas at Austin Aeronautics Team
project283,283,rhoda.kuhn@hotmail.com,he is easily offended.,5554,2 months,University of Texas at Austin MedWish
project284,284,maureen_deckow@yahoo.com,She liked him until he said he was a Marxist.,4438,5 months,University of Texas at Austin Rocket Team
project285,285,edison_koepp10@yahoo.com,The bus went roaring by her window at 6 am.,5793,20 month,University of Texas at Austin Global Health Design Collaborative
project286,286,burnice_cummings@hotmail.com,Ask no questions and hear no lies.,752,3 months,University of Texas at Austin Graduate Civil Engineering Student Association
project287,287,verla.beatty@yahoo.com,Most big Japanese firms depend on exports.,2219,6 months,University of Texas at Austin Medical Technology Group
project288,288,emelie98@yahoo.com,You don't have to make a big deal out of it.,7550,2 months,University of Texas at Austin oSTEM
project289,289,letha_weber10@hotmail.com,that's not even how to kill me.,2521,5 months,University of Texas at Austin Society of Hispanic Professional Engineers
project290,290,alford_hane86@hotmail.com,Greer isn't listed in the phone book.,4586,20 month,University of Texas at Austin Society of Women Engineers
project291,291,wilbert.stark67@yahoo.com,He is the happiest man alive.,9428,20 year,University of Texas at Austin Steel Bridge Team
project292,292,ursula69@hotmail.com,Rosa likes tea better than coffee.,8463,1.5 years,University of Texas at Austin Theta Tau
project293,293,kayley30@hotmail.com,A big car drew up and a tall lady got out.,2584,27 months,University of Texas at Austin Women in Science and Engineering Roundtable
project294,294,trace89@hotmail.com,You're running a big risk in trusting him.,8749,23 years,University of Texas at Austin American Marketing Association
project295,295,reymundo44@yahoo.com,I hate scammers.,7895,22 weeks,University of Texas at Austin Association for Computing Machinery
project296,296,garth_langosh25@gmail.com,I wanted to read the book.,595,3 months,University of Texas at Austin Neuroscience Society
project297,297,osbaldo_rempel31@yahoo.com,You guys like meat.,7351,6 months,University of Texas at Austin Orchestra
project298,298,jailyn58@yahoo.com,We were on the lake yesterday.,6273,2 months,University of Texas at Austin Developer Student Club
project299,299,germaine64@gmail.com,I have 10 hair curlers.,8764,5 months,University of Texas at Austin Design For America
project300,300,eden16@gmail.com,I am busy right now with my work.,802,21 month,University of Texas at Austin Discussions Undergraduate Research Journal
project301,301,johnpaul.osinski14@hotmail.com,It's storming outside.,5639,3 months,Michigan State University Engineers Without Borders
project302,302,jarod.kerluke@gmail.com,That is not a pencil.,8570,6 months,Michigan State University Girls Who Code
project303,303,saige.beahan@hotmail.com,I had to put a pin in his femur.,7236,2 months,Michigan State University Hackers Society
project304,304,aaron61@yahoo.com,I’m debating between option A and option B.,2007,5 months,Michigan State University Biomedical Engineering Society
project305,305,litzy29@gmail.com,My teacher told Pat to lower his voice.,1899,21 month,Michigan State University American Institute of Chemical Engineers
project306,306,queenie85@gmail.com,Welcome to the big leagues.,2250,21 year,Michigan State University Baja Sae
project307,307,margarette56@gmail.com,I don't like rain.,8925,1.5 years,Michigan State University Aeronautics Team
project308,308,jayden.halvorson72@gmail.com,The taxes are included in the price.,9491,28 months,Michigan State University MedWish
project309,309,mervin_ernser@gmail.com,They don't take care of that dog.,9876,24 years,Michigan State University Rocket Team
project310,310,brady_rath@hotmail.com,This could change all of our lives.,2940,23 weeks,Michigan State University Global Health Design Collaborative
project311,311,wilhelm_corkery67@gmail.com,This is real life.,3702,3 months,Michigan State University Graduate Civil Engineering Student Association
project312,312,pierce98@gmail.com,You took out someone you cared for.,5661,6 months,Michigan State University Medical Technology Group
project313,313,merle.borer0@gmail.com,She had a dice with over twenty sides.,2125,2 months,Michigan State University oSTEM
project314,314,frances.stracke19@hotmail.com,He is bigger than all the other boys.,5471,5 months,Michigan State University Society of Hispanic Professional Engineers
project315,315,roxanne23@hotmail.com,He can't take the joke.,313,22 month,Michigan State University Society of Women Engineers
project316,316,clifford14@hotmail.com,Coca-cola is yummy.,9048,3 months,Michigan State University Steel Bridge Team
project317,317,alexandrine_heidenreich@yahoo.com,I close the window.,4078,6 months,Michigan State University Theta Tau
project318,318,fern70@gmail.com,I am a groom.,6253,2 months,Michigan State University Women in Science and Engineering Roundtable
project319,319,reynold_carter@gmail.com,She doesn’t see Peter every day.,4362,5 months,Michigan State University American Marketing Association
project320,320,retta.bahringer@gmail.com,A small town lies between the big cities.,5892,22 month,Michigan State University Association for Computing Machinery
project321,321,jaron.kihn@gmail.com,I could help dad around here.,6820,22 year,Michigan State University Neuroscience Society
project322,322,mossie15@yahoo.com,The cruise cut through the Bermuda Triangle.,2012,1.5 years,Michigan State University Orchestra
project323,323,lyric.kub@gmail.com,They're almost three times as big as we are.,136,29 months,Michigan State University Developer Student Club
project324,324,otilia_macgyver@yahoo.com,Land is good.,6631,25 years,Michigan State University Design For America
project325,325,dayana24@hotmail.com,I heard you two had a fight.,4917,24 weeks,Michigan State University Discussions Undergraduate Research Journal
project326,326,delphia.kling@yahoo.com,The teacher tested us in English.,3705,3 months,Harvard University Engineers Without Borders
project327,327,price_labadie@gmail.com,Moving to the next step is daunting.,4434,6 months,Harvard University Girls Who Code
project328,328,helen_cassin@hotmail.com,"After the heavy rain, there was a big flood.",7781,2 months,Harvard University Hackers Society
project329,329,marley_bayer@gmail.com,It's so hot.,5881,5 months,Harvard University Biomedical Engineering Society
project330,330,vince.hackett3@gmail.com,He made the hard decision but the right one.,2254,23 month,Harvard University American Institute of Chemical Engineers
project331,331,ada52@yahoo.com,I'll be back.,4541,3 months,Harvard University Baja Sae
project332,332,brionna.becker@yahoo.com,We have weight training classes.,9700,6 months,Harvard University Aeronautics Team
project333,333,marina.mayer@yahoo.com,The cat jumped over the fence.,2101,2 months,Harvard University MedWish
project334,334,regan_adams32@gmail.com,There are new deals every single day.,1228,5 months,Harvard University Rocket Team
project335,335,eliseo3@yahoo.com,You are making a big mistake.,5077,23 month,Harvard University Global Health Design Collaborative
project336,336,keyon.franecki16@yahoo.com,"After he arrives, we’ll all come out.",6130,23 year,Harvard University Graduate Civil Engineering Student Association
project337,337,elta_bernhard37@gmail.com,I'm not really a TV watcher.,470,1.5 years,Harvard University Medical Technology Group
project338,338,joey.ondricka3@hotmail.com,"I always overpack,.",5157,30 months,Harvard University oSTEM
project339,339,tod_lakin41@hotmail.com,The rusty containers were in the field.,4126,26 years,Harvard University Society of Hispanic Professional Engineers
project340,340,efren_lebsack5@gmail.com,I have a bunch of things I need to do.,1752,25 weeks,Harvard University Society of Women Engineers
project341,341,adrianna_hessel41@hotmail.com,I’m also too poor to afford a real office.,6656,3 months,Harvard University Steel Bridge Team
project342,342,myron80@yahoo.com,The train was forty-seven minutes late.,6567,6 months,Harvard University Theta Tau
project343,343,jules.stark83@hotmail.com,She writes an e-mail to her best friend.,3369,2 months,Harvard University Women in Science and Engineering Roundtable
project344,344,arianna_bruen3@hotmail.com,I’m sorry to interrupt you.,1848,5 months,Harvard University American Marketing Association
project345,345,brian66@yahoo.com,He suddenly appeared in the party.,2244,24 month,Harvard University Association for Computing Machinery
project346,346,kailyn61@gmail.com,You need therapy.,4032,3 months,Harvard University Neuroscience Society
project347,347,jazmyne_moore8@hotmail.com,His father runs a restaurant.,171,6 months,Harvard University Orchestra
project348,348,liam28@hotmail.com,I like the Wimbledon.,9169,2 months,Harvard University Developer Student Club
project349,349,alexanne.boyer@gmail.com,Those apples are very red.,5353,5 months,Harvard University Design For America
project350,350,makenzie.luettgen@hotmail.com,He worked in a city hospital.,799,24 month,Harvard University Discussions Undergraduate Research Journal
project351,351,violette_cartwright4@yahoo.com,The eggs are sold by the dozen.,5355,24 year,Boston University Engineers Without Borders
project352,352,elda.satterfield34@yahoo.com,I'm sick of online dating.,6499,1.5 years,Boston University Girls Who Code
project353,353,brenden1@gmail.com,He goes to school.,5085,31 months,Boston University Hackers Society
project354,354,bert_ondricka@yahoo.com,I need to use the bathroom.,2441,27 years,Boston University Biomedical Engineering Society
project355,355,murphy.dach29@gmail.com,Captain America is my favorite Avenger.,7520,26 weeks,Boston University American Institute of Chemical Engineers
project356,356,adah54@hotmail.com,It could possibly become a big problem.,7458,3 months,Boston University Baja Sae
project357,357,osvaldo28@gmail.com,I've got too much work to do.,6402,6 months,Boston University Aeronautics Team
project358,358,donnie_oconner@gmail.com,They are cruel to the animals.,9149,2 months,Boston University MedWish
project359,359,athena60@hotmail.com,You're simply the best.,7330,5 months,Boston University Rocket Team
project360,360,rosamond_kertzmann@yahoo.com,It really bugged me.,735,25 month,Boston University Global Health Design Collaborative
project361,361,lenna.greenfelder@gmail.com,"She had long, yellow fingernails.",1178,3 months,Boston University Graduate Civil Engineering Student Association
project362,362,vanessa44@hotmail.com,I am a genius.,491,6 months,Boston University Medical Technology Group
project363,363,willa_durgan@gmail.com,The job was bigger than I anticipated.,177,2 months,Boston University oSTEM
project364,364,zakary.hickle@gmail.com,They go to a gallery every Saturday.,278,5 months,Boston University Society of Hispanic Professional Engineers
project365,365,vivianne68@yahoo.com,Honesty is the best policy.,5993,25 month,Boston University Society of Women Engineers
project366,366,oren_willms@hotmail.com,A turkey is a little bigger than a chicken.,9817,25 year,Boston University Steel Bridge Team
project367,367,uriel_bednar33@yahoo.com,I miss my college friends.,4281,1.5 years,Boston University Theta Tau
project368,368,trisha.gutmann89@gmail.com,Tom let out a sigh of relief.,9261,32 months,Boston University Women in Science and Engineering Roundtable
project369,369,eryn_kreiger@hotmail.com,My mom got a new job.,8091,28 years,Boston University American Marketing Association
project370,370,mavis_bechtelar@hotmail.com,He knows English better than I do.,9788,27 weeks,Boston University Association for Computing Machinery
project371,371,myron.little48@gmail.com,She told him to grow up.,597,3 months,Boston University Neuroscience Society
project372,372,jo71@yahoo.com,I trust you so much.,1516,6 months,Boston University Orchestra
project373,373,marisa_jacobs65@yahoo.com,I feel like I am going to pass out.,9342,2 months,Boston University Developer Student Club
project374,374,eugene.jacobson@gmail.com,It’s likely to rain.,670,5 months,Boston University Design For America
project375,375,fermin79@hotmail.com,I don't like visiting cities.,2298,26 month,Boston University Discussions Undergraduate Research Journal
project376,376,hailey.douglas@yahoo.com,It’s as good as new.,6036,3 months,Massachusetts Institute of Technology Engineers Without Borders
project377,377,gilberto65@gmail.com,He’s as proud as a peacock.,5724,6 months,Massachusetts Institute of Technology Girls Who Code
project378,378,stuart_klein49@yahoo.com,This is because we feel pain.,4090,2 months,Massachusetts Institute of Technology Hackers Society
project379,379,simeon_langosh48@hotmail.com,She doesn’t use a computer.,2267,5 months,Massachusetts Institute of Technology Biomedical Engineering Society
project380,380,gavin_oreilly@hotmail.com,Robert tends to talk big.,268,26 month,Massachusetts Institute of Technology American Institute of Chemical Engineers
project381,381,alivia47@yahoo.com,You must be happy.,723,26 year,Massachusetts Institute of Technology Baja Sae
project382,382,simone.torphy@gmail.com,He has a weird mouth.,3897,1.5 years,Massachusetts Institute of Technology Aeronautics Team
project383,383,hassan95@hotmail.com,The doctor diagnosed her with diabetes.,7805,33 months,Massachusetts Institute of Technology MedWish
project384,384,heloise21@yahoo.com,They were the nation's biggest business.,7265,29 years,Massachusetts Institute of Technology Rocket Team
project385,385,blanca_pouros75@hotmail.com,It takes two to tango.,6487,28 weeks,Massachusetts Institute of Technology Global Health Design Collaborative
project386,386,stone73@gmail.com,He showed us how to snap the pencil.,3790,3 months,Massachusetts Institute of Technology Graduate Civil Engineering Student Association
project387,387,sunny.jacobson18@hotmail.com,Sue was her favorite classmate.,7111,6 months,Massachusetts Institute of Technology Medical Technology Group
project388,388,aurelio_brakus@gmail.com,We should hang soon.,6606,2 months,Massachusetts Institute of Technology oSTEM
project389,389,elisa.sporer@yahoo.com,I love my high school friends.,7701,5 months,Massachusetts Institute of Technology Society of Hispanic Professional Engineers
project390,390,dax12@gmail.com,The words you just used were mean.,2490,27 month,Massachusetts Institute of Technology Society of Women Engineers
project391,391,darron66@yahoo.com,I have not opened the door.,4101,3 months,Massachusetts Institute of Technology Steel Bridge Team
project392,392,arch5@hotmail.com,He would snore loudly during his nap.,4799,6 months,Massachusetts Institute of Technology Theta Tau
project393,393,alexzander.boehm@hotmail.com,She wished she had taken the other job.,7004,2 months,Massachusetts Institute of Technology Women in Science and Engineering Roundtable
project394,394,rickey.white@hotmail.com,I have 10 hair straighteners.,5909,5 months,Massachusetts Institute of Technology American Marketing Association
project395,395,karli.treutel@hotmail.com,I can understand a slip up.,3651,27 month,Massachusetts Institute of Technology Association for Computing Machinery
project396,396,dominique39@yahoo.com,My brother is big enough to travel alone.,4079,27 year,Massachusetts Institute of Technology Neuroscience Society
project397,397,kiana74@hotmail.com,The blacksmith makes old-fashioned swords.,7500,1.5 years,Massachusetts Institute of Technology Orchestra
project398,398,adeline48@hotmail.com,Mr. Smith thinks that he's the best.,2357,34 months,Massachusetts Institute of Technology Developer Student Club
project399,399,lindsay.wolf25@yahoo.com,She had a black thumb.,5674,30 years,Massachusetts Institute of Technology Design For America
project400,400,stewart.treutel51@hotmail.com,I am here to be pushed to a higher level.,4367,29 weeks,Massachusetts Institute of Technology Discussions Undergraduate Research Journal
project401,401,federico95@hotmail.com,I haven’t been invited.,5640,3 months,Northeastern University Engineers Without Borders
project402,402,dean_rath@hotmail.com,I forgot my shopping list at home.,6413,6 months,Northeastern University Girls Who Code
project403,403,porter96@gmail.com,You'd better look before you jump.,527,2 months,Northeastern University Hackers Society
project404,404,scottie.heller37@hotmail.com,We can go to the oark.,6474,5 months,Northeastern University Biomedical Engineering Society
project405,405,talon_schmidt@yahoo.com,I am here for you.,1366,28 month,Northeastern University American Institute of Chemical Engineers
project406,406,quinn.rosenbaum@hotmail.com,I have 30 jackets.,6541,3 months,Northeastern University Baja Sae
project407,407,maudie_prohaska36@hotmail.com,Albert Einstein was kind of smart.,9747,6 months,Northeastern University Aeronautics Team
project408,408,mara32@gmail.com,It's storming outside.,2930,2 months,Northeastern University MedWish
project409,409,jazmyne.batz@gmail.com,My Airpods keep falling out of my ears.,5408,5 months,Northeastern University Rocket Team
project410,410,winona.rogahn11@yahoo.com,Nothing hurts like the truth.,8460,28 month,Northeastern University Global Health Design Collaborative
project411,411,lionel_moore@yahoo.com,The movie industry became a big business.,5089,28 year,Northeastern University Graduate Civil Engineering Student Association
project412,412,emmett_veum93@hotmail.com,She doesn’t use a computer.,9919,1.5 years,Northeastern University Medical Technology Group
project413,413,reese_bradtke60@yahoo.com,The gang's all her.,1827,35 months,Northeastern University oSTEM
project414,414,kendall_lakin@hotmail.com,The sooner I get to bed the better.,1496,31 years,Northeastern University Society of Hispanic Professional Engineers
project415,415,makenzie15@hotmail.com,He wears suspenders instead of a belt.,7703,30 weeks,Northeastern University Society of Women Engineers
project416,416,pietro.satterfield@yahoo.com,Rosa crossed Mary's name off the list.,5699,3 months,Northeastern University Steel Bridge Team
project417,417,giovanna16@gmail.com,He fixed the sleeve under his coat.,9567,6 months,Northeastern University Theta Tau
project418,418,giovanni.barton@yahoo.com,He likes to swim in the lake.,2578,2 months,Northeastern University Women in Science and Engineering Roundtable
project419,419,daisha.cruickshank@hotmail.com,The train is coming early today.,8272,5 months,Northeastern University American Marketing Association
project420,420,lucas50@hotmail.com,It’s getting dark.,7914,29 month,Northeastern University Association for Computing Machinery
project421,421,dillon.parisian13@gmail.com,"When you enter a room, smile and say hello.",2436,3 months,Northeastern University Neuroscience Society
project422,422,rasheed14@hotmail.com,We have bigger fish to fry.,4341,6 months,Northeastern University Orchestra
project423,423,arvel_mann60@gmail.com,She spent a lot of money on books.,8616,2 months,Northeastern University Developer Student Club
project424,424,lester85@yahoo.com,You can order it spicy or classic.,4683,5 months,Northeastern University Design For America
project425,425,anabel.beer97@yahoo.com,There's a big pile of mail on your desk.,6501,29 month,Northeastern University Discussions Undergraduate Research Journal
project426,426,dewitt_cummings@hotmail.com,I got a new cat.,6677,29 year,Harvey Mudd College Engineers Without Borders
project427,427,marilie_stiedemann17@yahoo.com,Tom is just a farm boy living in a big city.,5471,1.5 years,Harvey Mudd College Girls Who Code
project428,428,kole_cremin77@gmail.com,I used to have a goldfish.,8212,36 months,Harvey Mudd College Hackers Society
project429,429,mylene16@hotmail.com,They sleep in the afternoon.,7005,32 years,Harvey Mudd College Biomedical Engineering Society
project430,430,jany.dubuque23@gmail.com,I had to put a pin in his femur.,8593,31 weeks,Harvey Mudd College American Institute of Chemical Engineers
project431,431,zora.maggio87@gmail.com,She wished applying for jobs was easier.,7603,3 months,Harvey Mudd College Baja Sae
project432,432,dora_rodriguez@yahoo.com,They employed him as a consultant.,9936,6 months,Harvey Mudd College Aeronautics Team
project433,433,karen.russel@yahoo.com,They don’t have any money.,9695,2 months,Harvey Mudd College MedWish
project434,434,edythe.kessler@hotmail.com,I'm going to see a movie.,4669,5 months,Harvey Mudd College Rocket Team
project435,435,georgiana13@hotmail.com,We reached London this afternoon.,1299,30 month,Harvey Mudd College Global Health Design Collaborative
project436,436,francisca_conn30@hotmail.com,She sells Christmas trees.,7315,3 months,Harvey Mudd College Graduate Civil Engineering Student Association
project437,437,gerda.pfannerstill@gmail.com,He lives on this street.,1752,6 months,Harvey Mudd College Medical Technology Group
project438,438,zakary45@gmail.com,She was very tired as a general rule.,9008,2 months,Harvey Mudd College oSTEM
project439,439,jed.ullrich77@hotmail.com,We need congressional support.,6508,5 months,Harvey Mudd College Society of Hispanic Professional Engineers
project440,440,jedediah.reilly@hotmail.com,It was a tough time.,3311,30 month,Harvey Mudd College Society of Women Engineers
project441,441,vidal.erdman68@yahoo.com,I will make an observation.,4660,30 year,Harvey Mudd College Steel Bridge Team
project442,442,braulio91@gmail.com,I think she likes me.,610,1.5 years,Harvey Mudd College Theta Tau
project443,443,arely1@yahoo.com,It's an awfully important job.,5685,37 months,Harvey Mudd College Women in Science and Engineering Roundtable
project444,444,lilla77@hotmail.com,I am going to make my bed first.,9388,33 years,Harvey Mudd College American Marketing Association
project445,445,jackson9@yahoo.com,He's finally stopping.,3332,32 weeks,Harvey Mudd College Association for Computing Machinery
project446,446,nick.hickle30@gmail.com,They live in a beautiful house.,842,3 months,Harvey Mudd College Neuroscience Society
project447,447,joanie14@hotmail.com,They can be divided into three groups.,5099,6 months,Harvey Mudd College Orchestra
project448,448,abigayle.okon48@gmail.com,I am on the phone.,5516,2 months,Harvey Mudd College Developer Student Club
project449,449,dandre_zboncak@yahoo.com,These sunglasses are too shiny.,5777,5 months,Harvey Mudd College Design For America
project450,450,verona3@hotmail.com,I have a birthday coupon to use.,3050,31 month,Harvey Mudd College Discussions Undergraduate Research Journal
project451,451,giovanni23@gmail.com,Any day will do.,4138,3 months,Middlebury College Engineers Without Borders
project452,452,krystina.lehner@yahoo.com,You could release half of us.,5733,6 months,Middlebury College Girls Who Code
project453,453,augusta.witting87@hotmail.com,I made a list.,4421,2 months,Middlebury College Hackers Society
project454,454,chyna.effertz13@hotmail.com,You can either stay or leave.,5613,5 months,Middlebury College Biomedical Engineering Society
project455,455,ana_jerde@hotmail.com,They're not big fans of mine.,9511,31 month,Middlebury College American Institute of Chemical Engineers
project456,456,reginald.predovic@gmail.com,Tom's name was at the top of the list.,5017,31 year,Middlebury College Baja Sae
project457,457,glenda79@gmail.com,The locksmith is fixing it.,3721,1.5 years,Middlebury College Aeronautics Team
project458,458,opal_hansen@hotmail.com,You could release half of us.,7694,38 months,Middlebury College MedWish
project459,459,darlene56@hotmail.com,He has more brothers than I do.,206,34 years,Middlebury College Rocket Team
project460,460,jedediah.goldner@hotmail.com,I am a vegan.,5059,33 weeks,Middlebury College Global Health Design Collaborative
project461,461,percival_haag@hotmail.com,There is one open baby swing.,8178,3 months,Middlebury College Graduate Civil Engineering Student Association
project462,462,araceli51@yahoo.com,I'm cutting down on sweets.,4767,6 months,Middlebury College Medical Technology Group
project463,463,tyrique40@hotmail.com,Nothing ever really took off.,1777,2 months,Middlebury College oSTEM
project464,464,marian.kautzer@gmail.com,She had a black thumb.,8091,5 months,Middlebury College Society of Hispanic Professional Engineers
project465,465,ian.hand@yahoo.com,We already know the truth.,2286,32 month,Middlebury College Society of Women Engineers
project466,466,norris_schuster32@yahoo.com,I eat my asparagus steamed.,5233,3 months,Middlebury College Steel Bridge Team
project467,467,burdette23@hotmail.com,I'm sure Tom's name isn't on the list.,8621,6 months,Middlebury College Theta Tau
project468,468,gwendolyn67@gmail.com,These guys are the best.,4879,2 months,Middlebury College Women in Science and Engineering Roundtable
project469,469,jaren_dicki@gmail.com,She was riding on a high-speed train.,7408,5 months,Middlebury College American Marketing Association
project470,470,chaz_smitham@hotmail.com,I have bought the car.,1438,32 month,Middlebury College Association for Computing Machinery
project471,471,ellen.crona@hotmail.com,Mary is a fan of theirs.,6679,32 year,Middlebury College Neuroscience Society
project472,472,stephen_macgyver34@yahoo.com,He is my neighbour.,912,1.5 years,Middlebury College Orchestra
project473,473,yasmeen.kunze@hotmail.com,Maybe he was brokering a deal.,6792,39 months,Middlebury College Developer Student Club
project474,474,mohammed_ritchie32@hotmail.com,Steve jumped in.,7049,35 years,Middlebury College Design For America
project475,475,keith_walsh@gmail.com,Toy Story is the best movie I’ve ever seen.,5257,34 weeks,Middlebury College Discussions Undergraduate Research Journal
project476,476,isabel0@gmail.com,She was beaming.,2011,3 months,University of Pennsylvania  Engineers Without Borders
project477,477,hank_goldner@gmail.com,The siblings could help each other.,7559,6 months,University of Pennsylvania  Girls Who Code
project478,478,bobby_wuckert3@gmail.com,You must be happy.,6032,2 months,University of Pennsylvania  Hackers Society
project479,479,margot16@yahoo.com,That television is both big and expensive.,2638,5 months,University of Pennsylvania  Biomedical Engineering Society
project480,480,vince_okon10@yahoo.com,"Now, you know what I'm capable of.",8433,33 month,University of Pennsylvania  American Institute of Chemical Engineers
project481,481,reanna.hyatt@yahoo.com,The kids were smiling from ear to ear.,9869,3 months,University of Pennsylvania  Baja Sae
project482,482,shaniya.murray@hotmail.com,We have a big oak tree in our backyard.,7522,6 months,University of Pennsylvania  Aeronautics Team
project483,483,buford44@hotmail.com,I trust you so much.,2317,2 months,University of Pennsylvania  MedWish
project484,484,jaleel_king79@hotmail.com,Property is government.,5793,5 months,University of Pennsylvania  Rocket Team
project485,485,jovani.runolfsson99@hotmail.com,he has skipped school on many occasions.,9570,33 month,University of Pennsylvania  Global Health Design Collaborative
project486,486,scarlett_fritsch92@gmail.com,Last time I went on vacation I rode a horse.,683,33 year,University of Pennsylvania  Graduate Civil Engineering Student Association
project487,487,cesar_ohara18@yahoo.com,We reached London this afternoon.,1296,1.5 years,University of Pennsylvania  Medical Technology Group
project488,488,elmo0@yahoo.com,Every child likes an ice cream.,3238,40 months,University of Pennsylvania  oSTEM
project489,489,layla_morissette38@yahoo.com,She had eleven brothers and sisters.,3815,36 years,University of Pennsylvania  Society of Hispanic Professional Engineers
project490,490,dana75@hotmail.com,The blacksmith makes old-fashioned swords.,1157,35 weeks,University of Pennsylvania  Society of Women Engineers
project491,491,emilia29@yahoo.com,He was singing Welcome Home by Radical Face.,9553,3 months,University of Pennsylvania  Steel Bridge Team
project492,492,kamren89@hotmail.com,I am on the phone.,4809,6 months,University of Pennsylvania  Theta Tau
project493,493,brisa31@gmail.com,I love you more than I've ever loved my dog.,8165,2 months,University of Pennsylvania  Women in Science and Engineering Roundtable
project494,494,olen93@hotmail.com,She went over to see if her name was there.,8527,5 months,University of Pennsylvania  American Marketing Association
project495,495,terry.kautzer59@hotmail.com,"My friends are getting dinner tonight,.",8410,34 month,University of Pennsylvania  Association for Computing Machinery
project496,496,kari_klein@yahoo.com,All the swings are full.,9137,3 months,University of Pennsylvania  Neuroscience Society
project497,497,helmer_pfannerstill82@yahoo.com,The sunset was breathtaking.,9211,6 months,University of Pennsylvania  Orchestra
project498,498,dusty39@hotmail.com,My brother’s dog barks a lot.,1396,2 months,University of Pennsylvania  Developer Student Club
project499,499,lexus.hauck@yahoo.com,My brother takes out the trash.,9508,5 months,University of Pennsylvania  Design For America
project500,500,claud69@hotmail.com,He resolved to give up smoking.,556,34 month,University of Pennsylvania  Discussions Undergraduate Research Journal
project501,501,caroline_boyer@gmail.com,You don’t listen to me.,1306,34 year,University of Florida at Miami Engineers Without Borders
project502,502,kadin.jones@hotmail.com,He was in a bluegrass band with his father.,9874,1.5 years,University of Florida at Miami Girls Who Code
project503,503,nikolas_gibson99@gmail.com,A ship appeared on the horizon.,3328,41 months,University of Florida at Miami Hackers Society
project504,504,caitlyn48@hotmail.com,It is time to embrace the adventure.,1269,37 years,University of Florida at Miami Biomedical Engineering Society
project505,505,duncan10@gmail.com,That was last week.,3114,36 weeks,University of Florida at Miami American Institute of Chemical Engineers
project506,506,delmer41@hotmail.com,He showed us how to snap the pencil.,7422,3 months,University of Florida at Miami Baja Sae
